park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Pfeiffer Big Sur State Park,pfeiffer-big-sur-state-park,CA,https://www.parks.ca.gov/?page_id=570,"47895 Highway 1, Big Sur, CA 93920",36.2533054,-121.7832953,,,,True,189,True,50,False,32,,,,,,,,,,False,,True,,True,,True,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Pfeiffer+Big+Sur+State+Park,,,,,ChIJk-1QyAN_koAR5awGUd3p0dI,https://www.google.com/maps/search/?api=1&query=Pfeiffer+Big+Sur+State+Park&query_place_id=ChIJk-1QyAN_koAR5awGUd3p0dI,4.7,2646,,,,,,,,"Pfeiffer Big Sur State Park features redwoods, hiking trails, and beautiful campsites along the scenic Big Sur River.","Pfeiffer Big Sur State Park features redwoods, hiking trails, and beautiful campsites along the scenic Big Sur River.",,2026-05-24 18:00:00
Anza-Borrego Desert State Park,anza-borrego-desert-state-park,CA,https://www.parks.ca.gov/?page_id=638,"200 Palm Canyon Dr, Borrego Springs, CA 92004",33.2561225,-116.4033417,,,,True,120,True,50,True,35,,,,,,,,,,False,,True,,False,,True,False,False,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Anza-Borrego+Desert+State+Park,,,,,ChIJc8yYOrgr2oAR_iZBqLm2Q8I,https://www.google.com/maps/search/?api=1&query=Anza-Borrego+Desert+State+Park&query_place_id=ChIJc8yYOrgr2oAR_iZBqLm2Q8I,4.7,4005,,,,,,,,"California's largest state park offers dramatic desert canyons, spring wildflowers, palm oases, and expansive camping options under dark skies.","California's largest state park offers dramatic desert canyons, spring wildflowers, palm oases, and expansive camping options under dark skies.",,2026-05-24 18:00:00
Morro Bay State Park,morro-bay-state-park,CA,https://www.parks.ca.gov/?page_id=594,"60 State Park Rd, Morro Bay, CA 93442",35.3471229,-120.8390193,,,,True,130,True,30,False,35,,,,,,,,,,False,,True,,True,,True,True,True,True,True,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Morro+Bay+State+Park,,,,,ChIJ744EDL7h7IARq9SmRxJbovQ,https://www.google.com/maps/search/?api=1&query=Morro+Bay+State+Park&query_place_id=ChIJ744EDL7h7IARq9SmRxJbovQ,4.7,1662,,,,,,,,"Morro Bay State Park features lagoon views, sailing, hiking trails, a golf course, and a shaded campground popular with bird watchers.","Morro Bay State Park features lagoon views, sailing, hiking trails, a golf course, and a shaded campground popular with bird watchers.",,2026-05-24 18:00:00
Humboldt Redwoods State Park,humboldt-redwoods-state-park,CA,https://www.parks.ca.gov/?page_id=425,"17119 Avenue of the Giants, Weott, CA 95571",40.3084516,-123.9081832,,,,True,150,True,50,True,33,,,,,,,,,,False,,True,,True,,True,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Humboldt+Redwoods+State+Park,,,,,ChIJs-OEMsdj1FQR-qM19YlpcQM,https://www.google.com/maps/search/?api=1&query=Humboldt+Redwoods+State+Park&query_place_id=ChIJs-OEMsdj1FQR-qM19YlpcQM,4.9,5145,,,,,,,,"Home to the massive Avenue of the Giants, this park offers camping deep within ancient redwood groves along the scenic Eel River.","Home to the massive Avenue of the Giants, this park offers camping deep within ancient redwood groves along the scenic Eel River.",,2026-05-24 18:00:00
Crystal Cove State Park,crystal-cove-state-park,CA,https://www.parks.ca.gov/?page_id=644,"8471 N Coast Hwy, Laguna Beach, CA 92651",33.5809224,-117.8014755,,,,True,28,True,30,True,38,,,,,,,,,,False,,True,,True,,True,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Crystal+Cove+State+Park,,,,,ChIJgweg3rrm3IARnW8r6EqFlKc,https://www.google.com/maps/search/?api=1&query=Crystal+Cove+State+Park&query_place_id=ChIJgweg3rrm3IARnW8r6EqFlKc,4.8,7259,,,,,,,,"Offers scenic bluff-top camping overlooking the Pacific Ocean, hiking trails through coastal canyons, and historic beachside cottages.","Offers scenic bluff-top camping overlooking the Pacific Ocean, hiking trails through coastal canyons, and historic beachside cottages.",,2026-05-24 18:00:00
San Elijo State Beach,san-elijo-state-beach,CA,https://www.parks.ca.gov/?page_id=662,"2050 Coast Hwy 101, Cardiff, CA 92007",33.0212438,-117.2841606,,,,True,150,True,20,False,35,,,,,,,,,,False,,True,,True,,False,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=San+Elijo+State+Beach,,,,,ChIJI_ix_tsM3IARP3d2AcwV_oU,https://www.google.com/maps/search/?api=1&query=San+Elijo+State+Beach&query_place_id=ChIJI_ix_tsM3IARP3d2AcwV_oU,4.6,1537,,,,,,,,"A very popular coastal campground on the cliffs of Cardiff-by-the-Sea, offering surf-side camping and a camp store.","A very popular coastal campground on the cliffs of Cardiff-by-the-Sea, offering surf-side camping and a camp store.",,2026-05-24 18:00:00
Calaveras Big Trees State Park,calaveras-big-trees-state-park,CA,https://www.parks.ca.gov/?page_id=551,"1170 CA-4, Arnold, CA 95223",38.2544403,-120.3532525,,,,True,120,True,30,False,30,,,,,,,,,,False,,True,,True,,True,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Calaveras+Big+Trees+State+Park,,,,,ChIJmxeBHKavkIARaHJC7QdgBp4,https://www.google.com/maps/search/?api=1&query=Calaveras+Big+Trees+State+Park&query_place_id=ChIJmxeBHKavkIARaHJC7QdgBp4,4.8,5306,,,,,,,,"Famous for preserving two groves of giant sequoias, the park offers wooded campgrounds along the Stanislaus River.","Famous for preserving two groves of giant sequoias, the park offers wooded campgrounds along the Stanislaus River.",,2026-05-24 18:00:00
Carpinteria State Beach,carpinteria-state-beach,CA,https://www.parks.ca.gov/?page_id=599,"205 Palm Ave, Carpinteria, CA 93013",34.3948314,-119.5178646,,,,True,200,True,30,False,35,,,,,,,,,,False,,True,,True,,False,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=Carpinteria+State+Beach,,,,,ChIJi6LIDiwP6YAR35YCu2H-KR8,https://www.google.com/maps/search/?api=1&query=Carpinteria+State+Beach&query_place_id=ChIJi6LIDiwP6YAR35YCu2H-KR8,4.7,4779,,,,,,,,"Located right on the sandy shore, this beach park offers extensive camping, tidepools, and a relaxing coastal atmosphere.","Located right on the sandy shore, this beach park offers extensive camping, tidepools, and a relaxing coastal atmosphere.",,2026-05-24 18:00:00
D.L. Bliss State Park,d-l-bliss-state-park,CA,https://www.parks.ca.gov/?page_id=505,"9881 CA-89, Tahoma, CA 96142",39.0617236,-120.122619,,,,True,140,True,30,False,15,,,,,,,,,,False,,True,,True,,True,True,True,False,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=D.L.+Bliss+State+Park,,,,,ChIJ_SFE1PyPmYARuLu4rd74Rrg,https://www.google.com/maps/search/?api=1&query=D.L.+Bliss+State+Park&query_place_id=ChIJ_SFE1PyPmYARuLu4rd74Rrg,4.6,535,,,,,,,,"Located on the shores of Lake Tahoe, D.L. Bliss features clear blue water, sandy beaches, hiking trails, and granite cliffs.","Located on the shores of Lake Tahoe, D.L. Bliss features clear blue water, sandy beaches, hiking trails, and granite cliffs.",,2026-05-24 18:00:00
McArthur-Burney Falls Memorial State Park,mcarthur-burney-falls-memorial-state-park,CA,https://www.parks.ca.gov/?page_id=455,"24898 CA-89, Burney, CA 96013",41.0167664,-121.6412627,,,,True,100,True,20,False,32,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://www.reservecalifornia.com/unifSearch.do?keyword=McArthur-Burney+Falls+Memorial+State+Park,,,,,ChIJC7sGQeynzVQRYpZS1d2szTs,https://www.google.com/maps/search/?api=1&query=McArthur-Burney+Falls+Memorial+State+Park&query_place_id=ChIJC7sGQeynzVQRYpZS1d2szTs,4.8,2849,,,,,,,,"Famous for the spectacular 129-foot Burney Falls, this park offers a lush pine forest campground near Lake Britton.","Famous for the spectacular 129-foot Burney Falls, this park offers a lush pine forest campground near Lake Britton.",,2026-05-24 18:00:00
